 a    b   | sum
1111 0001 | 10000 (16)
1111 0010 | 10001 (17)
1111 0011 | 10010 (18)
1111 0100 | 10011 (19)
1111 0101 | 10100 (20)
1111 0110 | 10101 (21)
1111 0111 | 10110 (22)
1111 1000 | 10111 (23)
1111 1001 | 11000 (24)
1111 1010 | 11001 (25)
1111 1011 | 11010 (26)
1111 1100 | 11011 (27)
1111 1101 | 11100 (28)
1111 1110 | 11101 (29)
1111 1111 | 11110 (30)
